SPA,1SPATIAL PLC
PEYS,PRINCESS PRIVATE EQUITY HOLDING LIMITED
PROC,PROCOOK GROUP PLC
PRND,PROMOS TECHNOLOGIES INC
TPFG,PROPERTY FRANCHISE GROUP PLC (THE)
PXEN,PROSPEX ENERGY PLC
PRM,PROTEOME SCIENCES PLC
PPS,PROTON MOTOR POWER SYSTEMS PLC
PGOO,PROVEN GROWTH & INCOME VCT PLC
PVN,PROVEN VCT PLC
PXS,PROVEXIS PLC
PFG,PROVIDENT FINANCIAL PLC
PRSR,PRS REIT (THE) PLC
PRU,PRUDENTIAL PLC
71FG,PUBLIC JOINT STOCK COMPANY NOVOROSSIYSK COMMERCIAL SEA PORT
NCSP,PUBLIC JOINT STOCK COMPANY NOVOROSSIYSK COMMERCIAL SEA PORT
PLZA,PUBLIC JOINT STOCK COMPANY POLYUS
PLZB,PUBLIC JOINT STOCK COMPANY POLYUS
PLZL,PUBLIC JOINT STOCK COMPANY POLYUS
RKMD,PUBLIC JOINT-STOCK COMPANY ROSTELECOM
PPHC,"PUBLIC POLICY HOLDING COMPANY, INC."
PUAL,PUMA ALPHA VCT PLC
PU13,PUMA VCT 13 PLC
PUR,PURE GOLD MINING INC.
PRTC,PURETECH HEALTH PLC
PURP,PURPLEBRICKS GROUP PLC
PYX,PYX RESOURCES LIMITED
PZC,PZ CUSSONS PLC
QQ.,QINETIQ GROUP PLC
QFI,QUADRISE FUELS INTERNATIONAL PLC
QBT,QUANTUM BLOCKCHAIN TECHNOLOGIES PLC
QTX,QUARTIX TECHNOLOGIES PLC
QRT,QUARTO GROUP INCORPORATED
QLT,QUILTER PLC
QXT,QUIXANT PLC
QUIZ,QUIZ PLC
RBW,RAINBOW RARE EARTHS LIMITED
RAI,RA INTERNATIONAL GROUP PLC
RMM,RAMBLER METALS & MINING PLC
RFX,RAMSDENS HOLDINGS PLC
RNK,RANK GROUP PLC
RAT,RATHBONES GROUP PLC
RBGP,RBG HOLDINGS PLC
RCGH,RC365 HOLDING PLC
RBD,REABOLD RESOURCES PLC
RCH,REACH PLC
REAT,REACT GROUP PLC
RE.,R.E.A. HOLDINGS PLC
RE.B,R.E.A. HOLDINGS PLC
RECI,REAL ESTATE CREDIT INVESTMENTS LIMITED
RLE,REAL ESTATE INVESTORS PLC
RGD,REAL GOOD FOOD PLC
RKT,RECKITT BENCKISER GROUP PLC
RC2,RECONSTRUCTION CAPITAL II LIMITED
REC,RECORD PLC
REDC,RED CAPITAL PLC
RCN,REDCENTRIC PLC
67GX,REDDE NORTHGATE PLC
REDD,REDDE NORTHGATE PLC
RRR,RED ROCK RESOURCES PLC
RDW,REDROW PLC
REDX,REDX PHARMA PLC
RGL,REGIONAL REIT LIMITED
REA,REI AGRO LTD
REAA,REI AGRO LTD
RIGD,RELIANCE INDUSTRIES LIMITED
RIFA,RELIANCE INFRASTRUCTURE LD
RIFS,RELIANCE INFRASTRUCTURE LD
REL,RELX PLC
RENX,RENALYTIX PLC
RENE,RENEURON GROUP PLC
RNWH,RENEW HOLDINGS PLC
RWI,RENEWI PLC
RSW,RENISHAW PLC
32ID,RENOLD PLC
RNO,RENOLD PLC
RTO,RENTOKIL INITIAL PLC
RESI,RESIDENTIAL SECURE INCOME PLC
RSG,RESOLUTE MINING LIMITED
RTN,RESTAURANT GROUP PLC
RST,RESTORE PLC
RBG,REVOLUTION BARS GROUP PLC
REVB,REVOLUTION BEAUTY GROUP PLC
RHIM,RHI MAGNESITA N.V.
RCDO,RICARDO PLC
RICO,RICOH CO LTD
RMV,RIGHTMOVE PLC
RIII,RIGHTS & ISSUES INVESTMENT TRUST PLC
RIO,RIO TINTO PLC
RCP,RIT CAPITAL PARTNERS PLC
RMMC,RIVER AND MERCANTILE UK MICRO CAP INVESTMENT COMPANY LIMITED
RGO,RIVERFORT GLOBAL OPPORTUNITIES PLC
RCOI,RIVERSTONE CREDIT OPPORTUNITIES INCOME PLC
RSE,RIVERSTONE ENERGY LIMITED
CYBP,RIZE UCITS ICAV
CYBR,RIZE UCITS ICAV
EMRJ,RIZE UCITS ICAV
EMRP,RIZE UCITS ICAV
FLWG,RIZE UCITS ICAV
FLWR,RIZE UCITS ICAV
FOGB,RIZE UCITS ICAV
FOOD,RIZE UCITS ICAV
LERN,RIZE UCITS ICAV
LIFE,RIZE UCITS ICAV
LRNG,RIZE UCITS ICAV
LVNG,RIZE UCITS ICAV
PAWZ,RIZE UCITS ICAV
PAYG,RIZE UCITS ICAV
PETZ,RIZE UCITS ICAV
PMNT,RIZE UCITS ICAV
RMII,RM INFRASTRUCTURE INCOME PLC
RM.,RM PLC
RWA,ROBERT WALTERS PLC
RBN,ROBINSON PLC
ROCK,ROCKFIRE RESOURCES PLC
RKH,ROCKHOPPER EXPLORATION PLC
ROC,ROCKPOOL ACQUISITIONS PLC
RKW,ROCKWOOD STRATEGIC PLC
RFG,ROEBUCK FOOD GROUP PUBLIC LIMITED COMPANY
RR.,ROLLS-ROYCE HOLDINGS PLC
ROQ,ROQUEFORT THERAPEUTICS PLC
62UL,ROS AGRO PLC
AGRO,ROS AGRO PLC
RGP,ROSS GROUP PLC
RDT,ROSSLYN DATA TECHNOLOGIES PLC
ROL,ROTALA PLC
76ID,ROTORK PLC
ROR,ROTORK PLC
RHM,ROUND HILL MUSIC ROYALTY FUND LIMITED
RHMP,ROUND HILL MUSIC ROYALTY FUND LIMITED
RPS,RPS GROUP PLC
RQIH,R&Q INSURANCE HOLDINGS LTD
RSAB,RSA INSURANCE GROUP LIMITED
RS1,RS GROUP PLC
RTC,RTC GROUP PLC
RTW,RTW VENTURE FUND LIMITED
RTWG,RTW VENTURE FUND LIMITED
RUA,RUA LIFE SCIENCES PLC
RICA,RUFFER INVESTMENT COMPANY LTD
RUR,RURELEC PLC
RWS,RWS HOLDINGS PLC
SFOR,S4 CAPITAL PLC
SNT,SABIEN TECHNOLOGY GROUP PLC
SBRE,SABRE INSURANCE GROUP PLC
SSTY,SAFESTAY PLC
SAFE,SAFESTORE HOLDINGS PLC
SFE,SAFESTYLE UK PLC
SAGA,SAGA PLC
SGE,SAGE GROUP PLC
SED,SAIETTA GROUP PLC
SBRY,SAINSBURY (J) PLC
BC94,SAMSUNG ELECTRONICS CO LTD (ATT)
SMSD,SAMSUNG ELECTRONICS CO LTD (ATT)
SMSN,SAMSUNG ELECTRONICS CO LTD (ATT)
LEND,SANCUS LENDING GROUP LIMITED
LENZ,SANCUS LENDING GROUP LIMITED
SDG,SANDERSON DESIGN GROUP PLC
SLE,SAN LEON ENERGY PLC
SANB,SANTANDER UK PLC
SAR,SAREUM HOLDINGS PLC
SAVE,SAVANNAH ENERGY PLC
SAV,SAVANNAH RESOURCES PLC
SVS,SAVILLS PLC
SCLP,SCANCELL HOLDINGS PLC
SCHO,SCHOLIUM GROUP PLC
ATR,SCHRODER ASIAN TOTAL RETURN INVESTMENT COMPANY PLC
SDP,SCHRODER ASIAPACIFIC FUND PLC
SBO,SCHRODER BRITISH OPPORTUNITIES TRUST PLC
SBSI,SCHRODER BSC SOCIAL IMPACT TRUST PLC
SERE,SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC
SCF,SCHRODER INCOME GROWTH FUND PLC
SJG,SCHRODER JAPAN GROWTH FUND PLC
SOI,SCHRODER ORIENTAL INCOME FUND LIMITED
SREI,SCHRODER REAL ESTATE INVESTMENT TRUST LIMITED
SDR,SCHRODERS PLC
SCP,SCHRODER UK MID CAP FUND PLC
SUPP,SCHRODER UK PUBLIC PRIVATE TRUST PLC
SAG,SCIENCE GROUP PLC
SIS,SCIENCE IN SPORT PLC
SCIR,SCIROCCO ENERGY PLC
SGZ,SCOTGOLD RESOURCES LIMITED
SAIN,SCOTTISH AMERICAN INVESTMENT CO. PLC
SMT,SCOTTISH MORTGAGE INVESTMENT TRUST PLC
SST,SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC
SCS,SCS GROUP PLC
SEIT,SDCL ENERGY EFFICIENCY INCOME TRUST PLC
SDIC,"SDIC POWER HOLDINGS CO., LTD"
SDI,SDI GROUP PLC
SDVP,SDV 2025 ZDP PLC
SDX,SDX ENERGY PLC
SCGL,SEALAND CAPITAL GALAXY LIMITED
SSIF,SECURED INCOME FUND PLC
SPDI,SECURE PROPERTY DEVELOPMENT & INVESTMENT PLC
STB,SECURE TRUST BANK PLC
STS,SECURITIES TRUST OF SCOTLAND PLC
SEED,SEED INNOVATIONS LIMITED
SEEN,SEEEN PLC
SEE,SEEING MACHINES LIMITED
SGRO,SEGRO PLC
HYG,SENECA GROWTH CAPITAL VCT PLC
SVCT,SENECA GROWTH CAPITAL VCT PLC
SNR,SENIOR PLC
SEPL,SEPLAT ENERGY PLC
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED
SRB,SERABI GOLD PLC
SSIT,SERAPHIM SPACE INVESTMENT TRUST PLC
BUMP,SERAPHINE GROUP PLC
SRP,SERCO GROUP PLC
SQZ,SERICA ENERGY PLC
SENX,SERINUS ENERGY PLC
SFR,SEVERFIELD PLC
SVT,SEVERN TRENT PLC
SHB,SHAFTESBURY PLC
SHG,SHANTA GOLD LIMITED
SWG,SHEARWATER GROUP PLC
SEFA,SHEFA GEMS LTD
SHEL,SHELL PLC
SIGC,SHERBORNE INVESTORS (GUERNSEY) C LIMITED
STX,SHIELD THERAPEUTICS PLC
SHRS,SHIRES INCOME PLC
SHOE,SHOE ZONE PLC
SRC,SIGMAROC PLC
SHI,SIG PLC
SBDS,SILVER BULLET DATA SERVICES GROUP PLC
SAE,SIMEC ATLANTIS ENERGY LIMITED
SRE,SIRIUS REAL ESTATE LD
SSA,SISTEMA PJSFC
SSAA,SISTEMA PJSFC
SIV,SIVOTA PLC
SKL,SKILLCAST GROUP PLC
SBTX,SKINBIOTHERAPEUTICS PLC
SKMD,SK TELECOM CO LD
SLFR,SLF REALISATION FUND LIMITED
SLFX,SLF REALISATION FUND LIMITED
SLNG,SLINGSBY (H.C.) PLC
SMJ,SMART (J.) & CO. (CONTRACTORS) PLC
SMS,SMART METERING SYSTEMS PLC
SMRT,SMARTSPACE SOFTWARE PLC
SCRF,SME CREDIT REALISATION FUND LIMITED
SMDS,SMITH (DS) PLC
SN.,SMITH & NEPHEW PLC
SMIN,SMITHS GROUP PLC
SNWS,SMITHS NEWS PLC
SSON,SMITHSON INVESTMENT TRUST PLC
SMV,SMOOVE PLC
SKG,SMURFIT KAPPA GROUP PLC
51FL,SOCIETATEA ENERGETICA ELECTRICA SA
ELSA,SOCIETATEA ENERGETICA ELECTRICA SA
SNG1,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A."
SNGR,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A."
SCT,SOFTCAT PLC
SFTH,SOFTLINE HOLDING PLC
SFTL,SOFTLINE HOLDING PLC
SOLG,SOLGOLD PLC
SOLI,SOLID STATE PLC
SOM,SOMERO ENTERPRISE INC.
SND,SONDREL (HOLDINGS) PLC
SPE,SOPHEON PLC
SOS,SOSANDAR PLC
SOU,SOUND ENERGY PLC
SBI,SOURCEBIO INTERNATIONAL PLC
S32,SOUTH32 LIMITED
SOUC,SOUTHERN ENERGY CORP.
SVML,SOVEREIGN METALS LIMITED
SAL,SPACEANDPEOPLE PLC
SMD,"SPECTRAL MD HOLDINGS, LTD"
SPSC,SPECTRA SYSTEMS CORPORATION
SPSY,SPECTRA SYSTEMS CORPORATION
SXS,SPECTRIS PLC
SDY,SPEEDY HIRE PLC
SPX,SPIRAX-SARCO ENGINEERING PLC
SPI,SPIRE HEALTHCARE GROUP PLC
SPT,SPIRENT COMMUNICATIONS PLC
SPMU,SPIRITUS MUNDI PLC
SPO,SPORTECH PLC
SPR,SPRINGFIELD PROPERTIES PLC
SRT,SRT MARINE SYSTEMS PLC
SSE,SSE PLC
CDCE,SSGA SPDR ETFS EUROPE II PLC
CDIS,SSGA SPDR ETFS EUROPE II PLC
CSPE,SSGA SPDR ETFS EUROPE II PLC
CSTP,SSGA SPDR ETFS EUROPE II PLC
EMH5,SSGA SPDR ETFS EUROPE II PLC
ENGE,SSGA SPDR ETFS EUROPE II PLC
ENGW,SSGA SPDR ETFS EUROPE II PLC
ENGY,SSGA SPDR ETFS EUROPE II PLC
ERO,SSGA SPDR ETFS EUROPE II PLC
EVAL,SSGA SPDR ETFS EUROPE II PLC
FNCE,SSGA SPDR ETFS EUROPE II PLC
FNCL,SSGA SPDR ETFS EUROPE II PLC
FNCW,SSGA SPDR ETFS EUROPE II PLC
GCVB,SSGA SPDR ETFS EUROPE II PLC
GCVG,SSGA SPDR ETFS EUROPE II PLC
GIN,SSGA SPDR ETFS EUROPE II PLC
GLCB,SSGA SPDR ETFS EUROPE II PLC
GXLC,SSGA SPDR ETFS EUROPE II PLC
GXLE,SSGA SPDR ETFS EUROPE II PLC
GXLF,SSGA SPDR ETFS EUROPE II PLC
GXLK,SSGA SPDR ETFS EUROPE II PLC
GXLV,SSGA SPDR ETFS EUROPE II PLC
HEAE,SSGA SPDR ETFS EUROPE II PLC
HEAW,SSGA SPDR ETFS EUROPE II PLC
HLTH,SSGA SPDR ETFS EUROPE II PLC
ITEC,SSGA SPDR ETFS EUROPE II PLC
MAGI,SSGA SPDR ETFS EUROPE II PLC
MTRL,SSGA SPDR ETFS EUROPE II PLC
NDUS,SSGA SPDR ETFS EUROPE II PLC
R2SC,SSGA SPDR ETFS EUROPE II PLC
R2US,SSGA SPDR ETFS EUROPE II PLC
SAPA,SSGA SPDR ETFS EUROPE II PLC
SEMH,SSGA SPDR ETFS EUROPE II PLC
SEPA,SSGA SPDR ETFS EUROPE II PLC
SMPA,SSGA SPDR ETFS EUROPE II PLC
SPUD,SSGA SPDR ETFS EUROPE II PLC
SPUG,SSGA SPDR ETFS EUROPE II PLC
SUKC,SSGA SPDR ETFS EUROPE II PLC
SWPA,SSGA SPDR ETFS EUROPE II PLC
SXLB,SSGA SPDR ETFS EUROPE II PLC
SXLC,SSGA SPDR ETFS EUROPE II PLC
SXLE,SSGA SPDR ETFS EUROPE II PLC
SXLF,SSGA SPDR ETFS EUROPE II PLC
SXLI,SSGA SPDR ETFS EUROPE II PLC
SXLK,SSGA SPDR ETFS EUROPE II PLC
SXLP,SSGA SPDR ETFS EUROPE II PLC
SXLU,SSGA SPDR ETFS EUROPE II PLC
SXLV,SSGA SPDR ETFS EUROPE II PLC
SXLY,SSGA SPDR ETFS EUROPE II PLC
TECW,SSGA SPDR ETFS EUROPE II PLC
TELE,SSGA SPDR ETFS EUROPE II PLC
USSC,SSGA SPDR ETFS EUROPE II PLC
USVL,SSGA SPDR ETFS EUROPE II PLC
UTIL,SSGA SPDR ETFS EUROPE II PLC
UVAL,SSGA SPDR ETFS EUROPE II PLC
VALW,SSGA SPDR ETFS EUROPE II PLC
WCOD,SSGA SPDR ETFS EUROPE II PLC
WCOS,SSGA SPDR ETFS EUROPE II PLC
WDSC,SSGA SPDR ETFS EUROPE II PLC
WFIN,SSGA SPDR ETFS EUROPE II PLC
WHEA,SSGA SPDR ETFS EUROPE II PLC
WMAT,SSGA SPDR ETFS EUROPE II PLC
WNDU,SSGA SPDR ETFS EUROPE II PLC
WNRG,SSGA SPDR ETFS EUROPE II PLC
WOSC,SSGA SPDR ETFS EUROPE II PLC
WTEC,SSGA SPDR ETFS EUROPE II PLC
WTEL,SSGA SPDR ETFS EUROPE II PLC
WUTI,SSGA SPDR ETFS EUROPE II PLC
WVAL,SSGA SPDR ETFS EUROPE II PLC
ACWD,SSGA SPDR ETFS EUROPE I PLC
ACWI,SSGA SPDR ETFS EUROPE I PLC
ASDV,SSGA SPDR ETFS EUROPE I PLC
CHGT,SSGA SPDR ETFS EUROPE I PLC
CHNT,SSGA SPDR ETFS EUROPE I PLC
EDVD,SSGA SPDR ETFS EUROPE I PLC
EMAD,SSGA SPDR ETFS EUROPE I PLC
EMAS,SSGA SPDR ETFS EUROPE I PLC
EMDD,SSGA SPDR ETFS EUROPE I PLC
EMDL,SSGA SPDR ETFS EUROPE I PLC
EMDV,SSGA SPDR ETFS EUROPE I PLC
EMIL,SSGA SPDR ETFS EUROPE I PLC
EMRD,SSGA SPDR ETFS EUROPE I PLC
EMSD,SSGA SPDR ETFS EUROPE I PLC
EMSM,SSGA SPDR ETFS EUROPE I PLC
EU13,SSGA SPDR ETFS EUROPE I PLC
EUCO,SSGA SPDR ETFS EUROPE I PLC
EUDI,SSGA SPDR ETFS EUROPE I PLC
EUDV,SSGA SPDR ETFS EUROPE I PLC
FTAD,SSGA SPDR ETFS EUROPE I PLC
FTAL,SSGA SPDR ETFS EUROPE I PLC
GBDV,SSGA SPDR ETFS EUROPE I PLC
GBRE,SSGA SPDR ETFS EUROPE I PLC
GEDV,SSGA SPDR ETFS EUROPE I PLC
GLAB,SSGA SPDR ETFS EUROPE I PLC
GLAD,SSGA SPDR ETFS EUROPE I PLC
GLAG,SSGA SPDR ETFS EUROPE I PLC
GLAU,SSGA SPDR ETFS EUROPE I PLC
GLBL,SSGA SPDR ETFS EUROPE I PLC
GLDV,SSGA SPDR ETFS EUROPE I PLC
GLOW,SSGA SPDR ETFS EUROPE I PLC
GLRA,SSGA SPDR ETFS EUROPE I PLC
GLRE,SSGA SPDR ETFS EUROPE I PLC
GLTL,SSGA SPDR ETFS EUROPE I PLC
GLTS,SSGA SPDR ETFS EUROPE I PLC
GLTY,SSGA SPDR ETFS EUROPE I PLC
IMID,SSGA SPDR ETFS EUROPE I PLC
IUCB,SSGA SPDR ETFS EUROPE I PLC
JNKE,SSGA SPDR ETFS EUROPE I PLC
JNKS,SSGA SPDR ETFS EUROPE I PLC
JPEH,SSGA SPDR ETFS EUROPE I PLC
JPJP,SSGA SPDR ETFS EUROPE I PLC
LCRP,SSGA SPDR ETFS EUROPE I PLC
LOWV,SSGA SPDR ETFS EUROPE I PLC
LUSC,SSGA SPDR ETFS EUROPE I PLC
LUTR,SSGA SPDR ETFS EUROPE I PLC
PADV,SSGA SPDR ETFS EUROPE I PLC
SEUC,SSGA SPDR ETFS EUROPE I PLC
SJNK,SSGA SPDR ETFS EUROPE I PLC
SPX4,SSGA SPDR ETFS EUROPE I PLC
SPX5,SSGA SPDR ETFS EUROPE I PLC
SPY4,SSGA SPDR ETFS EUROPE I PLC
SPY5,SSGA SPDR ETFS EUROPE I PLC
SUSC,SSGA SPDR ETFS EUROPE I PLC
SUSD,SSGA SPDR ETFS EUROPE I PLC
SWLD,SSGA SPDR ETFS EUROPE I PLC
SWRD,SSGA SPDR ETFS EUROPE I PLC
TIPS,SSGA SPDR ETFS EUROPE I PLC
TRS3,SSGA SPDR ETFS EUROPE I PLC
TRS5,SSGA SPDR ETFS EUROPE I PLC
TRSX,SSGA SPDR ETFS EUROPE I PLC
TRSY,SSGA SPDR ETFS EUROPE I PLC
TSY3,SSGA SPDR ETFS EUROPE I PLC
UDVD,SSGA SPDR ETFS EUROPE I PLC
UEDV,SSGA SPDR ETFS EUROPE I PLC
UGDV,SSGA SPDR ETFS EUROPE I PLC
UKCO,SSGA SPDR ETFS EUROPE I PLC
UKDV,SSGA SPDR ETFS EUROPE I PLC
USAG,SSGA SPDR ETFS EUROPE I PLC
USCR,SSGA SPDR ETFS EUROPE I PLC
USDV,SSGA SPDR ETFS EUROPE I PLC
USLV,SSGA SPDR ETFS EUROPE I PLC
USTY,SSGA SPDR ETFS EUROPE I PLC
UTIP,SSGA SPDR ETFS EUROPE I PLC
SSPG,SSP GROUP PLC
STAF,STAFFLINE GROUP PLC
STAN,STANDARD CHARTERED PLC
OBOR,STARCREST EDUCATION LIMITED
STA,STAR PHOENIX GROUP LTD
SVE,STARVEST PLC
SWEF,STARWOOD EUROPEAN REAL ESTATE FINANCE LIMITED
SBIA,STATE BANK OF INDIA
SBID,STATE BANK OF INDIA
SAUA,STEEL AUTHORITY OF INDIA LD
SAUD,STEEL AUTHORITY OF INDIA LD
SRAD,STELRAD GROUP PLC
STCM,STEPPE CEMENT LTD
STEM,STHREE PLC
STJ,ST. JAMES'S PLACE PLC
STM,STM GROUP PLC
STHP,STRANGER HOLDINGS PLC
SEC,STRATEGIC EQUITY CAPITAL PLC
SML,STRATEGIC MINERALS PLC
STG,STRIP TINNING HOLDINGS PLC
KETL,STRIX GROUP PLC
STVG,STV GROUP PLC
SRES,SUNRISE RESOURCES PLC
SDRY,SUPERDRY PLC
SUPR,SUPERMARKET INCOME REIT PLC
46IE,S & U PLC
47IE,S & U PLC
SUS,S & U PLC
SYME,SUPPLY@ME CAPITAL PLC
SUP,SUPREME PLC
SUR,SURESERVE GROUP PLC
SURE,SURE VENTURES PLC
SCE,SURFACE TRANSFORMS PLC
SUN,SURGICAL INNOVATIONS GROUP PLC
SGGD,SURGUTNEFTEGAS PUBLIC JOINT STOCK COMPANY
SUH,SUTTON HARBOUR GROUP PLC
SVM,SVM UK EMERGING FUND PLC
SLP,SYLVANIA PLATINUM LIMITED
SYM,SYMPHONY ENVIRONMENTAL TECHNOLOGIES PLC
SIHL,SYMPHONY INTERNATIONAL HOLDINGS LD
SNG,SYNAIRGEN PLC
SYNC,SYNCONA LIMITED
SNX,SYNECTICS PLC
SYN,SYNERGIA ENERGY LTD
SYNT,SYNTHOMER PLC
SYS,SYSGROUP PLC
SYS1,SYSTEM1 GROUP PLC
TRAC,T42 IOT TRACKING SOLUTIONS PLC
TAGD,TABULA ICAV
TAGH,TABULA ICAV
TAHY,TABULA ICAV
TINF,TABULA ICAV
TING,TABULA ICAV
TND,TANDEM GROUP PLC
TAN,TANFIELD GROUP PLC
THRL,TARGET HEALTHCARE REIT PLC
TKO,TASEKO MINES LIMITED
TAST,TASTY PLC
TGBA,TATA CONSUMER PRODUCTS LIMITED
TGBL,TATA CONSUMER PRODUCTS LIMITED
TPCL,TATA POWER COMPANY LIMITED
TTST,TATA STEEL LIMITED
TATE,TATE & LYLE PLC
TAM,TATTON ASSET MANAGEMENT PLC
TAVI,TAVISTOCK INVESTMENTS PLC
TMI,TAYLOR MARITIME INVESTMENTS LIMITED
TMIP,TAYLOR MARITIME INVESTMENTS LIMITED
TW.,TAYLOR WIMPEY PLC
TBCG,TBC BANK GROUP PLC
CTO,TCLARKE PLC
TCS,TCS GROUP HOLDING PLC
TCSA,TCS GROUP HOLDING PLC
TM17,TEAM17 GROUP PLC
TEAM,TEAM PLC
TM1,TECHNOLOGY MINERALS PLC
TEK,TEKCAPITAL PLC
TGP,TEKMAR GROUP PLC
32QX,TELECOM EGYPT S.A.E.
TEEG,TELECOM EGYPT S.A.E.
TEP,TELECOM PLUS PLC
TMPL,TEMPLE BAR INVESTMENT TRUST PLC
TEM,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC
TEG,TEN ENTERTAINMENT GROUP PLC
TENG,TEN LIFESTYLE GROUP PLC
TERN,TERN PLC
TYM,TERTIARY MINERALS PLC
TRA,TERTRE ROUGE ASSETS PLC
TSCO,TESCO PLC
TFG,TETRAGON FINANCIAL GROUP LIMITED
TFGS,TETRAGON FINANCIAL GROUP LIMITED
THAL,THALASSA HOLDINGS LIMITED
TV1,THAMES VENTURES VCT 1 PLC
D467,THAMES VENTURES VCT 2 PLC
DO1D,THAMES VENTURES VCT 2 PLC
TV2A,THAMES VENTURES VCT 2 PLC
TV2H,THAMES VENTURES VCT 2 PLC
TV2V,THAMES VENTURES VCT 2 PLC
THS,THARISA PLC
ART,THE ARTISANAL SPIRITS COMPANY PLC
55BC,THE COMMERCIAL BANK OF QATAR (Q.S.C.)
CBQS,THE COMMERCIAL BANK OF QATAR (Q.S.C.)
ESCT,THE EUROPEAN SMALLER COMPANIES TRUST PLC
FUL,THE FULHAM SHORE PLC
GSCT,THE GLOBAL SMALLER COMPANIES TRUST PLC
GYM,THE GYM GROUP PLC
TMG,THE MISSION GROUP PLC
PEBB,THE PEBBLE GROUP PLC
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP LIMITED
MNTC,THE SCHIEHALLION FUND LIMITED
MNTN,THE SCHIEHALLION FUND LIMITED
WRKS,THEWORKS.CO.UK PLC
THG,THG PLC
TSL,THINKSMART LIMITED
TPOS,THIRD POINT INVESTORS LIMITED
TPOU,THIRD POINT INVESTORS LIMITED
TLEI,THOMASLLOYD ENERGY IMPACT TRUST PLC
TLEP,THOMASLLOYD ENERGY IMPACT TRUST PLC
THX,THOR EXPLORATIONS LTD
THR,THOR MINING PLC
TFW,THORPE (F.W.) PLC
THRU,THRUVISION GROUP PLC
TGA,THUNGELA RESOURCES LIMITED
TIA,TIALIS ESSENTIAL IT PLC
TIFS,TI FLUID SYSTEMS PLC
TIR,TIGER ROYALTIES AND INVESTMENTS PLC
TIME,TIME FINANCE PLC
TMO,TIME OUT GROUP PLC
TNT,TINTRA PLC
TBLD,TINYBUILD INC.
TGR,TIRUPATI GRAPHITE PLC
TRX,TISSUE REGENIX GROUP PLC
TON,TITON HOLDINGS PLC
TLOU,TLOU ENERGY LIMITED
TMTA,TMT ACQUISITION PLC
TMT,TMT INVESTMENTS PLC
TOM,TOMCO ENERGY PLC
TOOP,TOOPLE PLC
TPT,TOPPS TILES PLC
MEX,TORTILLA MEXICAN GRILL PLC
TTE,TOTALENERGIES SE
TLY,TOTALLY PLC
TST,TOUCHSTAR PLC
TXP,TOUCHSTONE EXPLORATION INC
TRP,TOWER RESOURCES PLC
TOWN,TOWN CENTRE SECURITIES PLC
TYT,TOYOTA MOTOR CORPORATION
TPG,TP GROUP PLC
TCAP,TP ICAP GROUP PLC
TPX,TPXIMPACT HOLDINGS PLC
TWD,TRACKWISE DESIGNS PLC
TRCS,TRACSIS PLC
TRAF,TRAFALGAR PROPERTY GROUP PLC
TRN,TRAINLINE PLC
TRAK,TRAKM8 HOLDINGS PLC
TRT,TRANSENSE TECHNOLOGIES PLC
TPK,TRAVIS PERKINS PLC
TET,TREATT PLC
TRLS,TRELLUS HEALTH PLC
TRMR,TREMOR INTERNATIONAL LTD
TRD,TRIAD GROUP PLC
TI1,TRIAN INVESTORS 1 LIMITED
TRB,TRIBAL GROUP PLC
TRR,TRIDENT ROYALTIES PLC
TRI,TRIFAST PLC
TRIN,TRINITY EXPLORATION & PRODUCTION PLC
TENT,TRIPLE POINT ENERGY TRANSITION PLC
TPVC,TRIPLE POINT INCOME VCT PLC
TPVD,TRIPLE POINT INCOME VCT PLC
TPVE,TRIPLE POINT INCOME VCT PLC
SOHO,TRIPLE POINT SOCIAL HOUSING REIT PLC
TPOA,TRIPLE POINT VCT 2011 PLC
TPOB,TRIPLE POINT VCT 2011 PLC
TPON,TRIPLE POINT VCT 2011 PLC
TSTL,TRISTEL PLC
BBOX,TRITAX BIG BOX REIT PLC
BOXE,TRITAX EUROBOX PLC
EBOX,TRITAX EUROBOX PLC
TIGT,TROY INCOME & GROWTH TRUST PLC
TRY,TR PROPERTY INVESTMENT TRUST PLC
TRU,TRUFIN PLC
TRST,TRUSTPILOT GROUP PLC
TTG,TT ELECTRONICS PLC
SHIP,TUFTON OCEANIC ASSETS LIMITED
SHPP,TUFTON OCEANIC ASSETS LIMITED
TUI,TUI AG
TLW,TULLOW OIL PLC
TUN,TUNGSTEN WEST PLC
98LM,TURKIYE IS BANKASI A.S.
TIBD,TURKIYE IS BANKASI A.S.
TFIF,TWENTYFOUR INCOME FUND LIMITED
SMIF,TWENTYFOUR SELECT MONTHLY INCOME FUND LIMITED
TYMN,TYMAN PLC
UOS,UAE OIL SERVICES PLC
5ESG,UBS (IRL) ETF PLC
AUAD,UBS (IRL) ETF PLC
AUGA,UBS (IRL) ETF PLC
AWSG,UBS (IRL) ETF PLC
AWSR,UBS (IRL) ETF PLC
GENE,UBS (IRL) ETF PLC
GENG,UBS (IRL) ETF PLC
