154A,GAIA 
46510,SANIXHOLDINGS INCORPORATED 
21800,SUNNY SIDE UP GROUP Inc. 
217A,???? 
92290,"SUNWELS Co.,Ltd. "
26590,"SAN-A CO.,LTD. "
42340,"Sun A.Kaken Company,Limited "
29370,"St.Cousair CO.,LTD. "
81300,Sangetsu Corporation 
69640,"SANKO CO.,LTD. "
32770,"Sansei Landic Co.,Ltd "
19600,Sanyo Engineering & Construction Inc. 
99890,"SUNDRUG CO.,LTD. "
33950,"Saint Marc Holdings Co.,Ltd. "
56970,"SANYU CO.,LTD. "
81360,"Sanrio Company, Ltd. "
93660,SANRITSU CORPORATION 
70400,"SUN-LIFE HOLDING CO.,LTD. "
310A,???????? 
44340,"Serverworks Co.,Ltd. "
27340,SALA CORPORATION 
40760,"CNS Co.,Ltd "
21850,CMC CORPORATION 
66140,"Shikino High-Tech CO.,LTD. "
60880,SIGMAXYZ Holdings Inc. 
23170,Systena Corporation 
38040,System D Inc. 
38260,System Integrator Corp. 
548A0,??????? 
43960,System Support Holdings Inc. 
75270,SystemSoft Corporation 
37710,"SYSTEM RESEARCH CO.,LTD. "
24350,"cedar.co.,ltd "
44280,sinops Inc. 
73090,SHIMANO INC. 
74820,"SHIMOJIMA Co.,Ltd. "
39760,SHANON Inc. 
99690,"SHOKUBUN CO.,LTD. "
93850,shoei corporation 
39090,Showcase Inc. 
92620,"SILVER LIFE CO., LTD. "
149A0,"Thinca Co.,Ltd. "
39630,"Synchro Food Co.,Ltd. "
77820,"Sincere Co., LTD. "
7176,??????/????????/ Holdings 
96920,COMPUTER ENGINEERING & CONSULTING LTD. 
43450,"CTS Co.,Ltd. "
77430,"SEED CO.,LTD. "
49260,"C'BON COSMETICS Co.,Ltd "
91580,CUC Inc. 
88870,"SYLA Holdings Co.,Ltd. "
78080,"C.S. LUMBER CO., INC "
26870,CVS Bay Area Inc. 
40730,"Global Communication Planning Co., Ltd. "
437A,??????? 
21240,"JAC Recruitment Co., Ltd. "
60740,JSS CORPORATION 
79420,JSP Corporation 
30630,J-Group Holdings Corp. 
70730,"JAIC Co., Ltd. "
64730,JTEKT Corporation 
24790,JTEC CORPORATION 
34460,JTEC CORPORATION 
27210,J-Holdings Corp. 
62280,"J.E.T.Co.,LTD. "
34800,"J.S.B.Co.,Ltd. "
77020,"JMS CO.,LTD. "
31950,"GENERATION PASS CO.,LTD "
55700,"JENOBA CO.,LTD. "
30700,"JELLY BEANS GROUP Co.,Ltd. "
30800,"JASON CO.,LTD. "
73570,"GEOCODE CO., Ltd. "
340A0,"zig-zag,Inc. "
70820,"Jimoty,Inc. "
46860,JUSTSYSTEMS CORPORATION 
42870,JUSTPLANNING INC. 
85840,"JACCS CO., LTD. "
64450,JANOME Corporation 
71720,"Japan Investment Adviser Co.,Ltd. "
60160,Japan Engine Corporation 
67400,Japan Display Inc. 
77740,"Japan Tissue Engineering Co., Ltd. "
98350,"juntendo co.,ltd. "
99420,"Joyfull Co.,Ltd. "
31910,"JOYFUL HONDA CO.,LTD. "
142A0,"JINJIB Co.,Ltd. "
30460,JINS HOLDINGS Inc. 
21600,GNI Group Ltd. 
38410,Jedat Inc. 
59700,G-TEKT CORPORATION 
58850,"GDEP ADVANCE, Inc. "
65620,"Geniee,Inc. "
41790,G-NEXT Inc. 
329A,????????? 
48450,"Scala, Inc. "
96840,"SQUARE ENIX HOLDINGS CO.,LTD. "
80050,Scroll Corporation 
99870,"SUZUKEN CO.,LTD. "
35500,STUDIO ATAO Co.Ltd. 
23050,"STUDIO ALICE Co.,Ltd. "
40190,"Stmn,Inc. "
477A0,"Startline CO.,LTD. "
92060,Star Flyer Inc. 
97950,"STEP CO.,LTD. "
70960,StemCell Institute Inc. 
45990,StemRIM Inc. 
61960,"Strike Group Co., Ltd. "
30710,"stream co.,ltd "
29970,"STORAGE-OH Co.,Ltd. "
70300,"SPRIX, Ltd. "
96220,"SPACE CO.,LTD. "
44870,Spacemarket Inc. 
70800,"Sportsfield Co., Ltd. "
93420,Sumasapo Inc. 
44310,"Smaregi,Inc. "
51370,SmartDrive inc. 
94170,"Smartvalue Co.,Ltd. "
75440,"Three F Co., Ltd. "
77770,"3-D Matrix,Ltd. "
59900,"SUPER TOOL CO.,LTD. "
66940,ZOOM CORPORATION 
28720,"SEIHYO CO.,Ltd. "
92130,SEYFERT LTD. 
523A0,"SEIWA HOLDINGS Co., Ltd. "
42640,"SECURE,INC. "
30420,SecuAvail Inc. 
96400,"SAISON TECHNOLOGY CO,.LTD. "
37410,"Systems Engineering Consultants Co.,LTD. "
84100,"Seven Bank, Ltd. "
33820,"Seven & i Holdings Co., Ltd. "
42930,"SEPTENI HOLDINGS CO.,LTD. "
61990,"SERAKU.,Co.Ltd. "
27820,"Seria Co., Ltd. "
36630,"CELSYS,Inc. "
77760,CellSeed Inc. 
73670,"CELM,Inc. "
50780,CEL Corporation 
36960,CERES INC. 
96250,"CERESPO CO.,LTD. "
88980,CENTURY 21 REAL ESTATE OF JAPAN LTD. 
44920,GENETEC CORPORATION 
32240,"General Oyster,Inc. "
90280,"ZERO CO.,LTD. "
171A,?????? 
75500,"ZENSHO HOLDINGS CO.,LTD. "
94740,"ZENRIN CO., LTD. "
358A,??/??? 
36340,Sockets Inc. 
65260,Socionext Inc. 
61430,"Sodick Co.,Ltd. "
35710,"SOTOHCO.,LTD. "
17680,SONEC CORPORATION 
79020,"SONOCOM CO.,LTD. "
69420,"SOPHIA HOLDINGS CO.,LTD. "
37330,"Software Service, Inc. "
33710,SOFTCREATE HOLDINGS CORP. 
550A0,??????? 
23210,Softfront Holdings 
44640,SOFT99corporation 
147A0,"SORACOM,INC. "
30400,SOLITON SYSTEMS K.K. 
215A0,"Timee,Inc. "
204A,????????? 
197A0,"TAUNS Laboratories, Inc. "
24810,"TOWNNEWS-SHA CO.,LTD. "
63250,"TAKAKITA CO.,LTD. "
81660,"Taka-Q Co.,Ltd. "
42420,TAKAGI SEIKO CORPORATION 
75900,"Takasho Co.,Ltd. "
82250,"Takachiho Co.,Ltd "
63380,Takatori Corporation 
24450,"Takamiya Co.,Ltd. "
92590,"TAKAYOSHI Holdings, INC. "
78670,"TOMY COMPANY,LTD. "
60130,"TAKUMA CO., LTD. "
63220,tacmina corporation 
166A0,TASUKI Holdings Inc. 
63950,TADANO LTD. 
72390,"TACHI-S CO.,LTD. "
96440,"TANABE CONSULTING GROUP CO.,LTD. "
67680,TAMURA CORPORATION 
77400,"Tamron Co.,Ltd. "
76430,"DAIICHI CO.,LTD. "
42450,"Daiki Axis Co.,Ltd "
59000,"DAIKEN CO.,LTD. "
47500,"DAISAN CO.,LTD. "
28160,"DAISHO CO.,LTD. "
97930,"Daiseki Co.,Ltd. "
42020,DAICEL CORPORATION 
32050,DAIDOH LIMITED 
63830,"DAIFUKU CO., LTD. "
151A0,Dive Group inc. 
66220,DAIHEN CORPORATION 
73540,Direct Marketing MiX Inc. 
46650,"DUSKIN CO.,LTD. "
76830,"WA,Inc. "
39250,Double Standard Inc. 
305A,?????? 
39620,"CHANGE Holdings, Inc. "
68500,Chino Corporation 
60620,CHARM CARE CORPORATION 
81850,"CHIYODA CO.,LTD "
43970,TeamSpirit Inc. 
68970,TWIN-BIRD CORPORATION 
24180,TSUKADA GLOBAL HOLDINGS Inc. 
80250,"TSUKAMOTO CORPORATION CO., LTD. "
61010,TSUGAMI CORPORATION 
29780,TSUKURUBA Inc. 
79370,"TSUTSUMI JEWELRY CO.,LTD. "
65510,TSUNAGU GROUP HOLDINGS Inc. 
64640,"TSUBAKI NAKASHIMA CO.,LTD. "
45400,TSUMURA & CO. 
33910,TSURUHA HOLDINGS INC. 
24850,TEAR Corporation 
593A0,"TIER IV, Inc. "
75010,TIEMCO LTD. 
72360,"T.RAD Co.,Ltd. "
43310,"TAKE AND GIVE. NEEDS Co., Ltd. "
76100,"TAY TWO CO.,LTD "
72170,"TEIN,INC. "
29620,"TECNISCO, LTD. "
9335,?????????? 
333A,??????? 
62460,Techno Smart Corp. 
34490,TECHNOFLEX CORPORATION 
37870,"Techno Mathematical Co.,Ltd. "
66780,"Techno Medica Co., Ltd. "
52480,"TECHNOLOGIES, Inc. "
19650,TECHNO RYOWA LTD. 
63370,TESEC Corporation 
19050,tenox corporation 
70370,teno.Holdings Company Limited 
39150,"TerraSky Co.,Ltd "
66270,"Tera Probe,Inc. "
51330,Terilogy Holdings Corporation 
94090,TV Asahi Holdings Corporation 
94130,TV TOKYO Holdings Corporation 
41980,"TENDA Co.,LTD. "
27510,"TENPOS HOLDINGS Co.,Ltd "
88410,"TOC Co.,Ltd "
98120,"T.O. Holdings CO., LTD. "
47670,"TOW CO.,LTD. "
32450,"DEAR LIFE CO.,LTD. "
36520,Digital Media Professionals Inc. 
61460,DISCO CORPORATION 
65380,Disruptors Inc. 
44210,"D.I.System Co.,Ltd. "
97820,DMS INC. 
24320,"DeNA Co., Ltd "
36860,DLE Inc. 
72280,DAYTONA CORPORATION 
73720,Decollte Holdings Corporation 
92440,DIGITALIFT Inc. 
48190,"Digital Garage, Inc. "
263A0,???????? 
36760,"DIGITAL HEARTS HOLDINGS Co., Ltd. "
36910,"DIGITAL PLUS, Inc. "
507A,????/???? 
34690,"Dualtap Co., Ltd. "
92400,Delivery Consulting Inc. 
28760,Delsole Corporation 
81440,"Denkyo Group Holdings Co.,Ltd. "
69020,DENSO CORPORATION 
6174,???? 
45760,"D.Western Therapeutics Institute, Inc. "
371A,??????? 
36280,"DATA HORIZON CO.,LTD "
38480,"Data Applications Company, Limited "
70740,Twenty-four seven Holdings Inc. 
40430,Tokuyama Corporation 
47540,TOSNETCORPORATION 
76400,"TOP CULTURE Co.,Ltd. "
243A,???? 
85420,"TOMATO BANK,LTD. "
81470,TOMITA CO.LTD. 
341A0,TOYOKOH Inc. 
48400,TriIs Incorporated 
141A0,"TRIAL Holdings, Inc. "
78180,"TRANSACTION CO.,Ltd. "
52580,Transaction Media Networks Inc. 
23420,TRANS GENIC GROUP INC. 
545A0,?????? 
66960,TRaaS On Product Inc. 
93370,toridori Inc. 
33970,TORIDOLL Holdings Corporation 
50260,"TRIPLEIZE CO.,LTD. "
30930,"Treasure Factory Co.,LTD. "
39970,"TRADE WORKS Co., Ltd "
267A,????? 
59730,TOAMI CORPORATION 
32040,Toabo Corporation 
19460,TOENEC CORPORATION 
33610,"Toell Co.,Ltd. "
97290,TOKAI Corp. 
94440,"TOSHIN HOLDINGS CO.,LTD "
47280,"TOSE CO.,LTD. "
81420,"TOHO Co.,Ltd. "
27370,TOMEN DEVICES CORPORATION 
39460,"TOMOKU CO.,LTD. "
52710,"Toyo Asano Foundation Co.,Ltd. "
74830,"DOSHISHA CO.,LTD. "
30870,"DOUTOR NICHIRES Holdings.,Co Ltd. "
37930,"Drecom Co.,Ltd. "
43100,Dream Incubator Inc. 
48110,DreamArts Corporation 
23030,Dawn Corporation 
80130,"NAIGAI CO.,LTD. "
77160,NAKANISHI INC. 
18270,NAKANO CORPORATION 
17870,"Nakabohtec Corrosion Protecting Co.,Ltd. "
62390,NAGAOKA INTERNATIONAL CORPORATION 
97330,Nagase Brothers Inc. 
81390,NAGAHORI CORPORATION 
96630,"NAGAWA Co .,Ltd. "
97880,"NAC CO .,LTD. "
27900,"NAFCO CO., Ltd "
58700,Nalnet Communications Inc. 
91630,Nareru Group Inc. 
73990,"NANSIN CO., LTD. "
74350,"NADEX CO., LTD. "
44650,"Niitaka Co., Ltd. "
77310,NIKON CORPORATION 
64670,NICHIDAI CORPORATION 
75780,"NICHIRYOKU CO., LTD. "
51840,"NICHIRIN CO., LTD. "
28710,NICHIREI CORPORATION 
53670,NIKKATO CORPORATION 
60420,"nikki co.,ltd "
42430,"NIX,INC. "
13320,Nissui Corporation 
14440,"Nissou Co.,Ltd. "
70210,"NITCHITSU CO.,LTD. "
17380,NITTOH CORPORATION 
79320,"Nippi,Incorporated "
20010,NIPPN CORPORATION 
98430,"Nitori Holdings Co., Ltd. "
79880,NIFCO INC. 
484A,???????? 
-,???????????? 
68630,NIRECO CORPORATION 
39920,Needs Well Inc. 
50330,Nulab Inc. 
39210,NEOJAPAN Inc. 
172A,????? 
41960,NEO MARKETING INC. 
31860,"NEXTAGE Co., Ltd. "
38420,"Nextgen,Inc. "
430A,??????? 
36590,"NEXON Co., Ltd. "
55900,"NETSTARS Co.,Ltd. "
73830,"Net Protections Holdings, Inc. "
49280,"noevir holdings co.,ltd. "
52370,NOZAWA CORPORATION 
74190,Nojima Corporation 
78790,NODA CORPORATION 
50790,"NOVAC CO., LTD. "
39400,"Nomura System Corporation Co, Ltd. "
446A0,"Northsand, Inc. "
59430,NORITZ CORPORATION 
76110,HIDAY HIDAKA Corp. 
30540,HYPER Inc. 
42600,"Hybrid Technologies Co., Ltd. "
42990,"HIMACS,Ltd. "
72790,HI-LEX CORPORATION 
89960,"HousefreedomCo.,Ltd. "
70640,"Howtelevision,Inc "
99500,"HACHI-BAN CO.,LTD. "
148A0,"HATCH WORK CO.,LTD. "
27920,"HONEYS HOLDINGS CO.,LTD. "
31740,happiness and d co ltd 
75520,HAPPINET CORPORATION 
30300,"HUB CO.,LTD. "
64970,HAMAI INDUSTRIES LTD. 
90370,"HAMAKYOREX CO.,LTD. "
97800,HARIMA B.STEM CORPORATION 
71190,"halmek holdings Co.,Ltd. "
27420,"HALOWS CO.,LTD. "
5077,??? 
76360,"HANDSMAN CO., LTD. "
173A0,Hammock Inc. 
75610,HURXLEY HOLDINGS CORPORATION 
510A,?????? 
26740,"HARD OFF CORPORATION Co.,Ltd. "
49250,"HABA LABORATORIES, INC. "
63240,Harmonic Drive Systems Inc. 
33770,BIKE O & COMPANY Ltd. 
31510,"VITAL KSK HOLDINGS,INC. "
66760,BUFFALO INC. 
33520,"BUFFALO CO.,LTD. "
554A0,"Batonz Co., Ltd. "
30110,"BANNERS CO.,LTD. "
39310,VALUE GOLF Inc. 
455A,??????? Holdings 
60780,"Value HR Co., Ltd. "
79950,"VALQUA , LTD. "
77900,"BARCOS Co., Ltd. "
34180,"BALNIBARBI Co.,Ltd. "
239A,????? 
35480,Baroque Japan Limited 
99560,"VALOR HOLDINGS CO.,LTD. "
43930,"Bank of Innovation, Inc. "
78320,Bandai Namco Holdings Inc. 
59880,"PIOLAX,INC. "
78460,PILOT CORPORATION 
30210,"Pacific Net Co.,Ltd "
21680,Pasona Group Inc. 
93880,"PAPANETS CO.,Ltd. "
36410,"PAPYLESS CO.,Ltd. "
27260,"PAL GROUP Holdings CO.,LTD. "
34610,"Palma Co., Ltd. "
485A0,"PowerX, Inc "
44500,"Power Solutions,Ltd. "
75320,Pan Pacific International Holdings Corporation 
98450,PARKER CORPORATION 
90290,"HIGASHI HOLDINGS CO.,LTD. "
20580,"HIGASHIMARU CO., LTD. "
378A0,"Hit Co., Ltd. "
21360,HIP CORPORATION 
44330,"HITO-Communications Holdings,Inc. "
249A,?????????? 
73610,"Human Creation Holdings,Inc. "
56210,"Human Technologies,Inc. "
62450,"HIRANO TECSEED CO.,LTD. "
5130,?? Holdings 
97910,BIKEN TECHNO CORPORATION 
44900,VisasQ Inc. 
96580,BUSINESS BRAIN SHOWAOTA INC. 
334A0,"Visual Processing Japan Co., Ltd. "
94160,VISION INC. 
542A0,Vitabrid Japan Inc. 
30480,BIC CAMERA INC. 
30410,"Beauty Kadan Holdings Co.,Ltd. "
31800,BEAUTY GARAGE Inc. 
78040,"B&P Co.,Ltd. "
91450,"BEING HOLDINGS CO.,LTD. "
604A0,?????? 
39810,Beaglee Inc. 
302A0,"b-style holdings,Inc. "
39860,"bBreak Systems Company, Limited "
43160,"BeMap,Inc. "
34520,B-Lot Company Limited 
46940,"BML, INC. "
70660,"Peers Co.,Ltd. "
70440,PIALA INC. 
28180,"PIETRO Co., Ltd. "
67310,PIXELA CORPORATION 
29350,"PICKLES HOLDINGS CO.,LTD. "
47660,"PA Co., Ltd "
35590,p-ban.com Corp. 
44470,"PBsystems,Inc. "
94500,Fibergate Inc. 
59940,"FINESINTER CO.,LTD. "
51250,Fines inc. 
36490,FINDEX Inc. 
41930,"Fabrica Holdings Co.,Ltd. "
46710,"FALCO HOLDINGS Co.,Ltd. "
72150,"FALTEC Co.,Ltd. "
24610,FAN Communications Inc. 
31370,"Fundely Co., Ltd. "
32660,"Fund Creation Group Co.,Ltd "
48810,FunPep Company Limited 
99830,"FAST RETAILING CO., LTD. "
29290,"Pharma Foods International Co., Ltd. "
38070,FISCO Ltd. 
36870,Fixstars Corporation 
469A0,Fitcrew Inc. 
5037,???????? 
32670,"Phil Company,Inc. "
34890,"FaithNetwork Co.,Ltd "
61900,"PhoenixBio Co.,Ltd. "
557A,?????? 
33960,FELISSIMO CORPORATION 
68900,Ferrotec Corporation 
46620,Focus Systems Corporation 
23300,"Forside Co.,Ltd. "
37260,"4Cs HD Co., Ltd. "
82750,FORVAL CORPORATION 
94450,"FORVALTELECOM,INC. "
94230,Forval RealStraight Inc. 
51850,"FUKOKU CO.,LTD. "
82780,"FUJI CO., LTD. "
27520,FUJIO FOOD GROUP INC. 
58030,Fujikura Ltd. 
78640,"FUJI SEAL INTERNATIONAL,INC. "
33700,"FUJITA CORPORATION Co.,Ltd. "
36000,FUJIX Ltd. 
59650,FUJIMAK CORPORATION 
53840,FUJIMI INCORPORATED 
46760,"FUJI MEDIA HOLDINGS, INC. "
478A0,???? 
92410,"Future Link Network Co.,Ltd. "
37530,FLIGHT SOLUTIONS Inc. 
323A0,Flier Inc. 
33170,"FLYING GARDEN CO., LTD "
60940,"FreakOut Holdings, inc. "
528A,??????? 
48480,"FULLCAST HOLDINGS CO.,LTD. "
25860,FRUTA FRUTA INC. 
78260,"FURUYA METAL CO.,LTD. "
70620,"Fureasu Co.,Ltd. "
44140,"FLECT Co.,Ltd. "
42500,Frontier Inc. 
70500,FRONTIER INTERNATIONAL INC. 
5528,????????? 
5525,?????? Holdings 
32840,"Hoosiers Holdings Co., Ltd. "
71140,"Foodison,Inc. "
39270,Fuva Brain Limited 
77170,"V Technology Co., Ltd. "
78030,Bushiroad Inc. 
324A0,"Booking Resort Co.,Ltd. "
24240,Brass Corporation 
61760,Brangista inc. 
51080,BRIDGESTONE CORPORATION 
91620,"Bleach, Inc. "
22080,BOURBON CORPORATION 
417A0,"BLUE ZONES HOLDINGS CO.,LTD. "
30910,"BRONCO BILLY Co.,LTD. "
44150,"BROAD ENTERPRISE CO.,LTD. "
43980,"BroadBand Security, Inc. "
37760,"BroadBand Tower, Inc. "
36730,"Broadleaf Co.,Ltd. "
63470,"PLACO CO.,LTD. "
75020,"PLAZA HOLDINGS CO.,LTD. "
40710,"Plus Alpha Consulting Co., Ltd. "
78130,"Platz Co.,Ltd. "
24490,"PRAP Japan,Inc. "
23910,"PLANET,INC. "
458A,???/?? 
41650,"PLAID, Inc. "
501A,??????????? 
42900,Prestige International Inc. 
25880,"Premium Water Holdings,Inc. "
73840,"Procrea Holdings, Inc. "
95600,PROGRIT Inc. 
37630,Pro-ship Incorporated 
92460,"ProjectHoldings,Inc. "
55800,"Prodelight Co.,Ltd. "
78930,PRONEXUS INC. 
32360,"PROPERST CO.,LTD. "
70340,"Prored Partners CO.,LTD. "
40110,"Headwaters Co.,Ltd "
45930,HEALIOS K.K. 
65320,"BayCurrent, Inc. "
35420,"Vega corporation Co.,Ltd. "
26560,Vector HOLDINGS Inc. 
60580,VECTOR INC. 
65770,"Bestone.Com Co.,Ltd "
39340,"BENEFIT JAPAN Co.,Ltd. "
73630,baby calendar Inc. 
99040,"Verite Co.,Ltd. "
99740,"Belc CO., LTD. "
61830,"BELLSYSTEM24 HOLDINGS,INC. "
503A,??????? 
52900,Vertex Corporation 
94410,"Bell-Park Co.,Ltd. "
99970,"BELLUNA CO.,LTD. "
519A0,????? 
30530,"PEPPER FOOD SERVICE CO.,LTD. "
48820,Perseus Proteomics Inc. 
31900,"HOTMAN Co.,Ltd. "
31960,"HOTLAND HOLDINGS Co., Ltd. "
36800,Hotto Link Inc. 
97200,"HOTEL NEW GRAND CO.,LTD "
13820,"HOB Co.,Ltd. "
61950,"HOPE, INC. "
36390,Voltage Incorporation 
44130,"baudroie,inc. "
73580,Poppins Corporation 
76010,"POPLAR Co., Ltd. "
49270,POLA ORBIS HOLDINGS INC. 
95530,"MicroAd,Inc. "
39280,Mynet Inc. 
65860,Makita Corporation 
98900,"MAKIYA CO.,LTD. "
44790,"Makuake, Inc. "
17950,MASARU CORPORATION 
36110,MATSUOKA CORPORATION 
30880,MatsukiyoCocokara & Co 
79010,MATSUMOTO INC. 
43600,"MANAC Chemical Partners Co.,Ltd. "
70330,"Management Solutions Co.,Ltd "
39940,"Money Forward, Inc. "
98230,Mammy Mart Holding Corporation 
34940,"Mullion Co.,Ltd. "
82280,"MARUICHI Co.,Ltd. "
59820,"MARUZEN CO., LTD. "
62640,"Marumae Co.,Ltd. "
75150,Maruyoshi Center Inc. 
73470,"Mercuria Holdings Co.,Ltd. "
50250,MERCURY Inc. 
31350,"MarketEnterprise Co.,Ltd "
64190,Mars Group Holdings Corporation 
78440,Marvelous Inc. 
72470,MIKUNI CORPORATION 
76870,"MICREED Co., Ltd. "
31690,"Misawa & Co.,Ltd. "
82030,Mr Max Holdings Ltd. 
45950,"MIZUHO MEDY CO.,LTD. "
65640,"MIDAC HOLDINGS CO., LTD. "
81310,"Mitsuuroko Group Holdings Co.,Ltd. "
72800,MITSUBA Corporation 
66380,"MIMAKI ENGINEERING CO.,LTD. "
14170,MIRAIT ONE Corporation 
335A0,Mirairo Inc. 
31870,miratap inc. 
472A0,"Mirrativ,Inc. "
49190,"Milbon Co., Ltd. "
79830,Miroku Corporation 
99280,"MIROKU JYOHO SERVICE CO.,LTD "
44360,"MINKABU THE INFONOID, Inc. "
32990,"MUGEN ESTATE Co.,Ltd. "
75210,"MUSASHI CO.,LTD. "
72640,MURO CORPORATION 
421A0,"Movin' Strategic Career CO., LTD. "
67870,"Meiko Electronics Co., Ltd. "
97440,MEITEC Group Holdings Inc. 
73690,"Meiho Holdings,Inc. "
68750,MegaChips Corporation 
33500,Metaplanet Inc. 
61820,MetaReal Corporation 
56440,METALART CORPORATION 
36780,"MEDIA DO Co., Ltd. "
66590,"MEDIA LINKS CO.,LTD. "
38150,"Media Kobo,Inc. "
36450,"Medical Net , Inc. "
33530,"Medical Ikkou Group Co.,Ltd. "
331A0,Medix Inc. 
23700,"MEDINET Co., Ltd. "
74590,MEDIPAL HOLDINGS CORPORATION 
45860,"Medrx Co.,Ltd. "
44800,"MEDLEY,INC. "
77800,"Menicon Co.,Ltd. "
43850,"Mercari, Inc. "
92180,"Mental Health Technologies Co.,Ltd. "
21300,"Members Co. ,Ltd. "
81530,"MOS FOOD SERVICES,INC. "
48830,Modalis Therapeutics Corporation 
39120,"Mobile Factory, Inc. "
64550,MORITA HOLDINGS CORPORATION 
36530,"Morpho,Inc. "
52550,Monstarlab Inc. 
74880,YAGAMI INC. 
74600,"YAGI & CO.,LTD. "
22670,"YAKULT HONSHA CO.,LTD. "
76770,"Yashima & Co., Ltd. "
41680,"Yappli, Inc. "
61470,"YAMAZAKI CO., LTD. "
99930,"YAMAZAWA CO.,LTD. "
93050,Yamatane Corporation 
98310,"YAMADA HOLDINGS CO.,LTD. "
52850,YAMAX Corp. 
19670,YAMATO CORPORATION 
81900,"YAMANAKA CO.,LTD. "
75710,YAMANO HOLDINGS CORPORATION 
19340,YURTEC CORPORATION 
286A0,EUCALIA Inc. 
50130,Yushiro Inc. 
76060,UNITED ARROWS LTD. 
25970,UNICAFE INC. 
35470,UNISIA HOLDINGS CO. 
72540,UNIVANCE CORPORATION 
64250,Universal Entertainment Corporation 
60610,"UNIVERSAL ENGEISHA CO.,LTD "
38000,UNIRITA Inc. 
38580,Ubiquitous AI Corporation 
66620,"Ubiteq,INC. "
43340,"YUKE'S Co.,Ltd. "
29310,"Euglena Co., Ltd. "
39840,"User Local, Inc. "
93760,"EURASIA TRAVEL Co.,Ltd "
47320,"USS Co.,Ltd. "
68000,"YOKOWO CO.,LTD. "
64880,Yoshitake Inc. 
32210,"Yossix Holdings Co.,Ltd. "
28840,Yoshimura Food Holdings K.K. 
54510,"YODOKO,Ltd. "
72940,YOROZU CORPORATION 
99550,"THE YONKYU CO., LTD. "
80080,YONDOSHI HOLDINGS INC. 
423A0,LION OFFICE PRODUCTS CORP. 
207A,????????????? 
91680,"Rise Consulting Group, Inc. "
65800,"Writeup Co.,Ltd. "
60820,"RIDE ON EXPRESS HOLDINGS Co.,Ltd. "
216A,???????? 
81940,LIFE CORPORATION 
25850,"LIFEDRINK COMPANY, INC. "
30650,"Life Foods Co., Ltd. "
46800,ROUND ONE Corporation 
40740,"LaKeel, Inc. "
39230,"RAKUS Co.,Ltd "
31390,"Lacto Japan Co.,Ltd. "
30310,"RACCOON HOLDINGS, Inc. "
92520,"Last One Mile Co.,Ltd. "
96120,"LUCKLAND CO., LTD. "
92540,"Lovable Marketing Group, Inc. "
81430,"LAPINE CO.,LTD "
419A,?????? 
33260,"RUNSYSTEM CO.,LTD. "
29810,Landix Inc. 
89180,"LAND Co.,Ltd. "
29910,LANDNET Inc. 
89440,LAND BUSINESS 
-,???????????? 
55320,REALGATE INC. 
60980,"Recruit Holdings Co., Ltd. "
70900,Ligua Inc. 
77520,"RICOH COMPANY,LTD. "
291A0,Reskill Corp. 
373A0,"LIPPS CO,.LTD "
81670,"RETAIL PARTNERS CO., LTD. "
21830,"Linical Co., Ltd. "
370A,????? 
79750,"LIHIT LAB.,INC. "
361A,??????? 
70910,"Living Platform, Ltd. "
73750,"REFINVERSE Group, Inc. "
60540,Livesense Inc. 
480A0,"LiB Consulting Co.,Ltd. "
242A0,"Replipriority Co., Ltd. "
49780,ReproCELL Incorporated 
49350,"LIBERTA CO.,LTD. "
92450,Livero Inc. 
45910,RIBOMIC Inc. 
38250,"Remixpoint,inc. "
88760,"Relo Group, Inc. "
82000,"RINGER HUT CO.,LTD "
21700,Link and Motivation Inc. 
60460,LINKBAL INC. 
93550,RINKO CORPORATION 
79380,REGAL CORPORATION 
69820,"The Lead Co., Inc. "
80290,LOOK HOLDINGS INCORPORATED 
23780,"RENAISSANCE,INCORPORATED "
457A,???? 
43170,Ray Corporation 
76810,"LEOCLAN Co.,Ltd. "
88480,LEOPALACE21CORPORATION 
31560,Restar Corporation 
40040,Resonac Holdings Corporation 
76020,"Ledax Co., Ltd. "
602A,??????????? 
48890,Renascience Inc. 
95190,"RENOVA,Inc. "
5022,??????????? 
372A0,RENT CORPORATION 
60450,"Rentracks CO.,LTD. "
97130,"THE ROYAL HOTEL,LIMITED "
58680,Rococo Co. Ltd. 
205A0,LOGOS HOLDINGS INC. 
90270,"LOGINET JAPAN CO.,LTD. "
29100,"ROCK FIELD CO.,LTD. "
59690,"LOBTEX.CO.,LTD. "
470A,???? 
27980,Y's table corporation 
59550,"WISE HOLDINGS CO.,LTD. "
94190,"WirelessGate, Inc. "
6527,????? 
81250,"Wakita & Co.,LTD. "
67270,"Wacom Co.,Ltd. "
35910,WACOAL HOLDINGS CORP. 
27350,"WATTS CO., LTD. "
43770,ONE CAREER Inc. 
75640,"WORKMAN CO.,LTD. "
36120,"WORLD CO.,LTD. "
24290,"WORLD HOLDINGS CO.,LTD. "
511A,????????? 
79180,"VIA Holdings,Inc. "
38400,VIXTON corporation 
50710,VIS co.ltd. 
44400,WITZ Corporation 
27690,"Village Vanguard CO.,LTD. "
71270,"Ikka Holdings Co.,Ltd. "
7355,??? 
61860,"ICHIKURA CO.,LTD. "
83410,"The 77Bank,Ltd. "
58200,"MITSUBOSHI CO., LTD. "
34390,Mitsuchi Corporation 
69660,"Mitsui High-tec, Inc. "
83160,"Sumitomo Mitsui Financial Group, Inc. "
